"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs3766606-<b>?</b>,"9 x 10-14","(subset analysis)",NR,'-,'-,'-,PARK7,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,1:7962137
rs6426833-<b>?</b>,"7 x 10-62","(subset analysis)",NR,'-,'-,'-,"OTUD3, AL391883.1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,1:19845367
rs3806308-<b>?</b>,"1 x 10-24","(subset analysis)",NR,'-,'-,'-,AL391883.1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,1:19816373
rs4655215-<b>?</b>,"8 x 10-20","(subset analysis)",NR,'-,'-,'-,"RNF186, TMCO4","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,1:19811221
rs6600247-<b>?</b>,"9 x 10-29","(subset analysis)",NR,'-,'-,'-,"AL445471.2, MIR4425","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,1:24978623
rs80174646-<b>?</b>,"1 x 10-143","(subset analysis)",NR,'-,'-,'-,IL23R,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,1:67242472
rs7517847-<b>?</b>,"1 x 10-98","(subset analysis)",NR,'-,'-,'-,"IL23R, C1orf141","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,1:67215986
rs10889676-<b>?</b>,"2 x 10-24","(subset analysis)",NR,'-,'-,'-,IL23R,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,1:67256884
rs183686347-<b>?</b>,"6 x 10-14","(subset analysis)",NR,'-,'-,'-,IL23R,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,1:67237759
rs2476601-<b>?</b>,"3 x 10-12","(subset analysis)",NR,'-,'-,'-,"PTPN22, AL137856.1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,1:113834946
rs114202211-<b>?</b>,"5 x 10-8","(subset analysis)",NR,'-,'-,'-,HIPK1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,1:113943285
rs4845604-<b>?</b>,"2 x 10-16","(subset analysis)",NR,'-,'-,'-,RORC,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,1:151829204
rs6693105-<b>?</b>,"4 x 10-24","(subset analysis)",NR,'-,'-,'-,"LCE3B, LCE3A","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,1:152618187
rs4129267-<b>?</b>,"9 x 10-18","(subset analysis)",NR,'-,'-,'-,IL6R,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,1:154453788
rs4971079-<b>?</b>,"3 x 10-10","(subset analysis)",NR,'-,'-,'-,"HMGN2P18, KRTCAP2","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,1:155157915
rs78973538-<b>?</b>,"3 x 10-8","(subset analysis)",NR,'-,'-,'-,GBAP1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,1:155224224
rs1333062-<b>?</b>,"2 x 10-11","(subset analysis)",NR,'-,'-,'-,"CD244, ITLN1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,1:160876494
rs10800314-<b>?</b>,"1 x 10-32","(subset analysis)",NR,'-,'-,'-,"FCGR2A, AL592295.3","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,1:161502999
rs61802846-<b>?</b>,"1 x 10-9","(subset analysis)",NR,'-,'-,'-,"AL592295.3, FCGR2A","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,1:161504083
rs79568124-<b>?</b>,"8 x 10-7","(subset analysis)",NR,'-,'-,'-,AL590385.2,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,1:161533059
rs6425143-<b>?</b>,"1 x 10-17","(subset analysis)",NR,'-,'-,'-,AL031599.1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,1:172875212
rs16841904-<b>?</b>,"2 x 10-9","(subset analysis)",NR,'-,'-,'-,DENND1B,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,1:197732862
rs2816958-<b>?</b>,"4 x 10-15","(subset analysis)",NR,'-,'-,'-,NR5A2,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,1:200132792
rs12131796-<b>?</b>,"5 x 10-41","(subset analysis)",NR,'-,'-,'-,INAVA,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,1:200909599
rs3024493-<b>?</b>,"1 x 10-38","(subset analysis)",NR,'-,'-,'-,IL10,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,1:206770623
rs12075255-<b>?</b>,"3 x 10-11","(subset analysis)",NR,'-,'-,'-,IL19,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,1:206788283
rs2666218-<b>?</b>,"9 x 10-10","(subset analysis)",NR,'-,'-,'-,ASAP2,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,2:9262859
rs13407913-<b>?</b>,"3 x 10-18","(subset analysis)",NR,'-,'-,'-,ADCY3,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,2:24874775
rs201014116-<b>?</b>,"2 x 10-7","(subset analysis)",NR,'-,'-,'-,DNMT3A,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,2:25278036
rs1260326-<b>?</b>,"2 x 10-23","(subset analysis)",NR,'-,'-,'-,GCKR,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,2:27508073
rs925255-<b>?</b>,"8 x 10-18","(subset analysis)",NR,'-,'-,'-,AC104695.2,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,2:28391927
rs77981966-<b>?</b>,"2 x 10-16","(subset analysis)",NR,'-,'-,'-,THADA,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,2:43550825
rs7608910-<b>?</b>,"2 x 10-32","(subset analysis)",NR,'-,'-,'-,PUS10,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,2:60977721
rs702872-<b>?</b>,"4 x 10-11","(subset analysis)",NR,'-,'-,'-,LINC01185,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,2:60854175
rs4672505-<b>?</b>,"2 x 10-52","(subset analysis)",NR,'-,'-,'-,"AC093159.2, RN7SL51P","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,2:62333197
rs11675538-<b>?</b>,"3 x 10-8","(subset analysis)",NR,'-,'-,'-,AC007389.1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,2:65459327
rs4851529-<b>?</b>,"1 x 10-14","(subset analysis)",NR,'-,'-,'-,"IL1R2, AC007271.1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,2:102030838
rs12987977-<b>?</b>,"3 x 10-17","(subset analysis)",NR,'-,'-,'-,IL18R1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,2:102358876
rs871656-<b>?</b>,"1 x 10-9","(subset analysis)",NR,'-,'-,'-,IL1R1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,2:102154822
rs11691685-<b>?</b>,"5 x 10-8","(subset analysis)",NR,'-,'-,'-,TEX41,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,2:144724260
rs2111485-<b>?</b>,"3 x 10-13","(subset analysis)",NR,'-,'-,'-,"FAP, IFIH1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,2:162254026
rs35667974-<b>?</b>,"5 x 10-10","(subset analysis)",NR,'-,'-,'-,IFIH1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,2:162268127
rs3747517-<b>?</b>,"2 x 10-9","(subset analysis)",NR,'-,'-,'-,IFIH1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,2:162272314
rs72871627-<b>?</b>,"1 x 10-8","(subset analysis)",NR,'-,'-,'-,IFIH1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,2:162280432
rs17229679-<b>?</b>,"3 x 10-17","(subset analysis)",NR,'-,'-,'-,AC019330.1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,2:198696033
rs6434978-<b>?</b>,"1 x 10-10","(subset analysis)",NR,'-,'-,'-,AC019330.1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,2:198702963
rs1405108-<b>?</b>,"8 x 10-8","(subset analysis)",NR,'-,'-,'-,"AC019330.1, AC020718.1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,2:198880294
rs7426056-<b>?</b>,"1 x 10-20","(subset analysis)",NR,'-,'-,'-,"KRT18P39, CD28","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,2:203747335
rs11749040-<b>?</b>,"7 x 10-28","(subset analysis)",NR,'-,'-,'-,"AC108105.1, AC093277.1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,5:40396323
rs9687958-<b>?</b>,"3 x 10-16","(subset analysis)",NR,'-,'-,'-,AC114977.1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,5:40496321
rs353339-<b>?</b>,"5 x 10-13","(subset analysis)",NR,'-,'-,'-,"KRT18P56, LINC00604","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,5:40201698
rs71624119-<b>?</b>,"2 x 10-8","(subset analysis)",NR,'-,'-,'-,ANKRD55,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,5:56144903
rs4703855-<b>?</b>,"3 x 10-8","(subset analysis)",NR,'-,'-,'-,"YBX1P5, AC093278.1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,5:72398072
rs34804116-<b>?</b>,"3 x 10-10","(subset analysis)",NR,'-,'-,'-,AC116345.1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,5:73244023
